X,Y,SiteNo,SiteID.NMBGMR,Easting,Northing,AltVa,WellDepth,FormationZone.NMBGMR,FormationMeaning.NMBGMR,DepthToWater,AgencyCd,AgencyNm,CountyNm
-106.34121084571,35.1511631066072,BC-0071,,377834,3890630,6972,,,,21,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.303517964208,35.1480581367561,BC-0072,,381263,3890240,6708,,,,8,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.347914679005,35.1695722307211,BC-0074,,377251,3892680,6864,305,,,21,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.370970845602,35.1334284166972,BC-0075,,375096,3888700,6906,170,,,1,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.372905948592,35.1323245433753,BC-0076,,374918,3888580,7009,285,,,18,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.370371133137,35.1447958099054,BC-0078,,375168,3889960,7026,205,,,13,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.370426007786,35.1447951892069,BC-0079,,375163,3889960,7025,400,,,13,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.367493930274,35.168992098271,BC-0082,,375467,3892640,7101,40,,,15,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.368020609534,35.1381502701682,BC-0087,,375372,3889220,6902,340,,,18,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.37286659218,35.1352102247835,BC-0090,,374926,3888900,6949,300,,,17,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.370927019519,35.1308141664878,BC-0091,,375096,3888410,6987,,,,17,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.382346638186,35.0960615421366,BC-0092,,374002,3884570,6559,100,,,25,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.370970845602,35.1334284166972,BC-0093,,375096,3888700,6906,292,,,17,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.352569523876,35.1582499071362,BC-0098,350930106210701,376810,3891430,6877,180,231CHNL,Chinle Formation,72,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.383454421052,35.1025407099657,BC-0100,,373911,3885290,6726,260,,,21,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.34794950515,35.165694814817,BC-0101,,377242,3892250,6853,280,,,18,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.324904533403,34.9853485202987,BC-0102,,379075,3872220,7561,600,,,23,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.256729293379,35.0113201702782,BC-0103,,385334,3875020,7059,180,,,19,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.373266972824,35.0799351727016,BC-0105,,374805,3882770,6443,,,,16,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.309711162197,34.9868658837845,BC-0106,,380464,3872370,7466,,,,5,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.257735656433,34.9961617108074,BC-0107,,385221,3873340,7158,780,,,22,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.23145036667,34.8885902399387,BC-0108,,387473,3861380,6798,,,,17,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.384567323603,35.0788148546151,BC-0113,,373773,3882660,6320,,,,19,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.344181972182,34.9770216486217,BC-0114,,377303,3871320,7498,260,,,25,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.34464640344,34.9772870043116,BC-0115,,377261,3871350,7513,,,,23,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.306411958957,34.934334138594,BC-0116,,380689,3866540,7446,,,,22,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.33544972225,34.9519615692431,BC-0117,,378063,3868530,7396,,,,22,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.353030264551,35.0220964035332,BC-0118,,376563,3876330,7078,,,,22,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.320060556516,34.9442852944077,BC-0119,,379457,3867660,7648,800,,,2,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.344459062938,34.953755664816,BC-0121,,377243,3868740,7324,275,,,7,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.297823619734,34.9528203132892,BC-0122,,381500,3868580,7361,260,,,16,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.45932317642,35.0682005438324,BC-0123,,366940,3881580,5991,,,,11,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.459858858822,35.0718006300759,BC-0124,,366897,3881980,6135,220,,,20,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.461665564586,35.0697952728968,BC-0126,,366729,3881760,6058,365,,,12,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.269389172765,34.9944173976261,BC-0130,,384155,3873160,7263,385,,,12,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.335352438873,35.0208495852135,BC-0131,,378174,3876170,7306,360,,,19,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.335008060517,35.1659283087195,BC-0132,,378421,3892260,6740,,,,5,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.29421797448,35.1534775387853,BC-0133,,382118,3890830,6972,400,,,27,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.29861665489,35.153250137782,BC-0134,,381717,3890810,6858,440,,,11,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.299688978717,35.1523369955674,BC-0135,,381618,3890710,6808,400,,,21,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.560053137028,35.1977702135145,BC-0138,,357980,3896090,5369,651,,,3,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.556654011685,35.195199319602,BC-0142,,358285,3895800,5407,720,,,1,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.556111184684,35.1961079001154,BC-0143,,358336,3895900,5411,711,,,1,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.560925359532,35.196857369581,BC-0146,,357899,3895990,5359,758,,,16,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.35512778527,35.1496557775368,BC-0147,,376564,3890480,7080,680,,,17,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.350184817675,35.1488093308712,BC-0148,,377013,3890380,6970,450,,,17,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.364028403324,35.1593837040873,BC-0149,,375768,3891570,7090,290,,,16,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.324277661869,35.1582920137723,BC-0151,,379387,3891400,6673,290,,,23,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.324417439477,35.1581101578616,BC-0152,,379374,3891380,6676,125,,,21,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.3291607996,35.1540909949216,BC-0153,,378936,3890940,6738,283,,,7,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.297459823748,35.1592133724415,BC-0155,,381831,3891470,6959,490,,,27,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.312213251573,35.1624806833477,BC-0156,350949106184501,380492,3891850,6704,260,313SADG,San Andres Limestone and Glorieta Sandstone,56,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.306790181085,35.1570393026171,BC-0157,,380978,3891240,6749,,,,16,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.30995788161,35.1580870579469,BC-0158,,380691,3891360,6761,340,,,17,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.356017212449,35.1628998609408,BC-0160,350949106211801,376503,3891950,6967,260,313SADG,San Andres Limestone and Glorieta Sandstone,86,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.366600842372,35.1700841367183,BC-0161,,375550,3892760,7141,385,,,19,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.365761307664,35.1684706689821,BC-0163,,375624,3892580,7071,85,,,16,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.329669480848,35.1063885481824,BC-0167,,378819,3885650,6886,380,,,23,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.327909927153,35.0993749973574,BC-0168,,378969,3884870,6805,440,,,19,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.32264373012,35.1041211339739,BC-0169,,379456,3885390,6976,,,,3,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.326246134591,35.1057047361133,BC-0171,,379130,3885570,6943,640,,,3,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.327537629123,35.1095676742341,BC-0172,,379018,3886000,6830,400,,,15,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.322759253533,35.1044805320256,BC-0173,,379446,3885430,6966,,,,18,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.329168567314,35.1100006228877,BC-0175,,378870,3886050,6804,325,,,17,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.329683379554,35.1065687247971,BC-0176,,378818,3885670,6878,400,,,18,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.326682007965,35.1055196371171,BC-0177,,379090,3885550,6933,480,,,3,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.326412172774,35.1044406149149,BC-0178,,379113,3885430,6952,475,,,17,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.325136062531,35.1035529257515,BC-0179,,379228,3885330,6999,600,,,3,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.322738770677,35.1045709201945,BC-0181,,379448,3885440,6964,420,,,19,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.324898406156,35.1031047003287,BC-0183,,379249,3885280,7011,520,,,21,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.323220670039,35.1051968131404,BC-0184,,379405,3885510,6935,400,,,21,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.325499519017,35.1036391165789,BC-0185,,379195,3885340,6989,475,,,21,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.324282653325,35.103021264196,BC-0186,,379305,3885270,7014,650,,,15,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.324816485151,35.1034662542673,BC-0187,,379257,3885320,7004,505,,,3,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.365834076117,35.2148135714663,BC-0192,,375688,3897720,6923,300,,,17,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.344042304117,35.1564513841279,BC-0193,,377584,3891220,6875,260,,,23,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.460940586797,35.0703449892896,BC-0196,,366796,3881820,6070.0601,600,,,13,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.308718830814,35.1163543497477,BC-0197,,380743,3886730,6890.71,605,,,12,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.321530188575,34.9785326540925,BC-0198,,379373,3871460,7516.48,600,,,22,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.369675144475,35.0960250438769,BC-0199,,375157,3884550,6443.54,124,,,23,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.260749613202,34.9854907357154,BC-0200,,384931,3872160,7257.2798,600,,,22,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.343112761008,35.1626829840398,BC-0201,,377678,3891910,6811.6602,,,,23,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.293710259491,34.9391587780077,BC-0203,,381856,3867060,7484.6899,,,,19,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.373257852293,35.1179845233989,BC-0204,,374864,3886990,6729.4302,,,,22,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.361525203869,35.0987316147236,BC-0205,,375904,3884840,6466.3799,,,,23,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.341097742112,35.0390898146547,BC-0207,,377677,3878200,7166.3799,,,,22,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.357417362949,35.1652284260933,BC-0210,,376379,3892210,6943.52,,,,23,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.252033395963,34.9606045802196,BC-0214,,385692,3869390,7070.54,,,,22,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.308552335123,35.1121184069655,BC-0216,,380752,3886260,6836.77,,,,24,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.382961401973,35.1045299416794,BC-0217,,373959,3885510,6725.8301,,,,16,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.389241173627,35.0769581110011,BC-0218,,373344,3882460,6276.0601,,,,23,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.389458960122,35.0768654514067,BC-0219,,373324,3882450,6278.0098,,,,23,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.341464913157,35.1639635350414,BC-0221,,377830,3892050,6799.3398,1275,,,14,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.373629376213,35.1231196488373,BC-0222,,374838,3887560,6793.6499,,,,11,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.365415595362,35.1510730423871,BC-0223,,375629,3890650,7051.5,320,,,11,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.307821803461,35.1515281572402,BC-0227,,380876,3890630,6700.8101,260,,,6,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.270354347825,35.1430907003916,BC-0228,,384277,3889650,6845.9399,170,,,2,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.386383271743,35.085015432248,BC-0230,,373617,3883350,6452.5298,200,,,11,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.327849199679,35.1057773504243,BC-0231,,378984,3885580,6894.79,405,,,9,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.307471860996,35.1159169848586,BC-0232,,380856,3886680,6846.3101,160,,,11,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.368482383379,35.1106450973819,BC-0234,,375288,3886170,6778.5498,,,,6,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.373176560961,35.109870694913,BC-0235,,374859,3886090,6606.2002,,,,7,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.365014819455,35.1592824290402,BC-0236,,375678,3891560,7098.1802,310,,,10,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.324054309379,35.1065401793034,BC-0239,,379331,3885660,6859.2998,460,,,9,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.346976383544,35.0999761197704,BC-0240,,377232,3884960,6614.3398,170,,,1,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.499827889375,35.1690485638509,BC-0241,,363415,3892820,6031.2402,560,,,10,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.459310607353,35.068110531709,BC-0242,,366941,3881570,5992.3799,,,,9,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.443570509287,35.0679382703849,BC-0243,,368376,3881530,6077.1401,,,,9,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.32862292401,35.1020721239831,BC-0244,,378908,3885170,6773.77,375,,,10,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.379957057451,35.1261133243858,BC-0245,,374266,3887900,6932.6001,,,,7,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.348171111887,35.1651513675481,BC-0246,,377221,3892190,6859.6802,250,,,8,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.341305305008,35.1636046482379,BC-0247,,377844,3892010,6797.4102,434,,,9,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.341248320945,35.1641462607586,BC-0248,,377850,3892070,6797.6299,268,,,9,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.386853754076,35.1050264534389,BC-0250,,373605,3885570,6820.1299,160,,,6,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.380697037939,35.1166377089256,BC-0252,,374184,3886850,6871.1099,165,,,6,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.382986950128,35.1164312725696,BC-0253,,373975,3886830,6998.0801,310,,,6,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.363941212453,35.1495568717512,BC-0255,,375761,3890480,7000.6001,450,,,6,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.333422340605,35.1515195749177,BC-0256,,378544,3890660,6789.46,,,,6,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.469279771655,35.0528427111892,BC-0257,,366007,3879890,5961.9399,510,,,6,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.459515446762,35.0672965960748,BC-0258,,366921,3881480,5946.71,285,,,6,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.460749932914,35.071339082619,BC-0259,,366815,3881930,6113.5601,305,,,7,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.320190132761,35.1200168471329,BC-0260,,379703,3887150,6909.9399,385,,,6,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.360827643158,35.1135263682928,BC-0261,,375990,3886480,6688.8501,,,,6,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.306579441634,34.9669728002864,BC-0263,,380721,3870160,7352.7798,260,,,6,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.618758516129,35.1860000683433,BC-0265,,352614,3894870,4999.1699,42,,,6,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.368869844606,35.1292144762562,BC-0267,,375281,3888230,6871,,,,1,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.377385718839,35.1330851761425,BC-0269,,374511,3888670,7084,400,,,4,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.379125253792,35.1340571887738,BC-0270,,374354,3888780,7118,,,,4,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.37329947151,35.1322299204343,BC-0271,,374882,3888570,7031,320,,,4,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.375437733908,35.1321155041951,BC-0272,,374687,3888560,7050,500,,,4,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.308791659933,34.9593749630833,BC-0273,,380508,3869320,7334,330,,,1,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.443025196942,35.0600103585052,BC-0274,,368413,3880650,5890,,,,3,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.44775904229,35.0685194823988,BC-0275,,367995,3881600,6088,,,,2,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.445970959445,35.0591637998961,BC-0276,,368143,3880560,5880,,,,1,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
